modelName,recall@5,precision@5,f1_score@5,ndcg@5,recall@10,precision@10,f1_score@10,ndcg@10,recall@15,precision@15,f1_score@15,ndcg@15,weight
p_model,0.23559126984126985,0.04711825396825397,0.0785304232804233,0.16835159223846985,0.3507484126984127,0.03507484126984127,0.06377243867243866,0.20425144754588312,0.4511496031746032,0.03007664021164021,0.056393700396825404,0.22906481593312059,"(1, 1, 1)"
p_model,0.23404365079365078,0.046808730158730154,0.07801455026455027,0.16781518724101005,0.3573511904761904,0.03573511904761905,0.06497294372294372,0.20570403630284909,0.44742261904761904,0.029828174603174603,0.05592782738095238,0.2290499345531713,"(1, 1, 2)"
p_model,0.23386507936507933,0.04677301587301587,0.07795502645502646,0.16688982537927846,0.3557797619047619,0.035577976190476195,0.06468722943722943,0.20259273141468712,0.44813214285714287,0.02987547619047619,0.05601651785714286,0.22927160952261152,"(1, 1, 3)"
p_model,0.2387531746031746,0.04775063492063492,0.07958439153439155,0.16583078279005412,0.3571039682539683,0.03571039682539682,0.06492799422799424,0.20432057402201467,0.4509746031746032,0.03006497354497354,0.0563718253968254,0.22738430082070335,"(1, 2, 1)"
p_model,0.2353988095238095,0.04707976190476191,0.07846626984126985,0.16652125229989317,0.35408333333333336,0.03540833333333333,0.06437878787878787,0.2054671627794478,0.45506944444444447,0.030337962962962962,0.05688368055555556,0.23143116822634607,"(1, 2, 2)"
p_model,0.2394015873015873,0.04788031746031746,0.07980052910052911,0.1673982880479545,0.3573376984126984,0.035733769841269844,0.06497049062049062,0.20511771826267858,0.4516896825396825,0.030112645502645502,0.05646121031746031,0.2284756724574595,"(1, 2, 3)"
p_model,0.23712142857142857,0.04742428571428572,0.0790404761904762,0.16625874827943732,0.3509972222222222,0.03509972222222223,0.06381767676767676,0.20190508901235,0.4464095238095238,0.02976063492063492,0.055801190476190476,0.229458922096804,"(1, 3, 1)"
p_model,0.23314523809523807,0.04662904761904762,0.07771507936507938,0.16358065201564326,0.35044484126984127,0.035044484126984125,0.06371724386724387,0.20377133273346118,0.4515726190476191,0.030104841269841268,0.056446577380952385,0.23084092781327814,"(1, 3, 2)"
p_model,0.23233055555555554,0.04646611111111111,0.07744351851851852,0.16516095924261848,0.3555730158730159,0.03555730158730159,0.06464963924963925,0.2048089399539453,0.4459996031746032,0.029733306878306876,0.0557499503968254,0.22845358338025193,"(1, 3, 3)"
p_model,0.23968690476190477,0.04793738095238095,0.07989563492063492,0.1668521798469107,0.36266865079365085,0.03626686507936507,0.06593975468975469,0.20529775907227527,0.4522837301587302,0.030152248677248673,0.056535466269841274,0.23030136413070953,"(2, 1, 1)"
